====================================================================================================
CHESS TOURNAMENT - MOVE GENERATION LOG (ZONE-ONLY ABLATION)
Started: 2026-02-07 18:30:43
====================================================================================================

[Game   1] [Move 104] Player: Black (UCT ) | Sims:    14 | Time:  1.553s | Move: c6f6
[Game   1] [Move 105] Player: White (MCVS) | Sims:     9 | Time:  1.597s | Move: c8f8
[Game   1] [Move 106] Player: Black (UCT ) | Sims:    19 | Time:  1.566s | Move: e5f4
[Game   1] [Move 107] Player: White (MCVS) | Sims:     7 | Time:  1.647s | Move: f8h8
[Game   1] [Move 108] Player: Black (UCT ) | Sims:    18 | Time:  1.598s | Move: f6c3
[Game   1] [Move 109] Player: White (MCVS) | Sims:     6 | Time:  1.672s | Move: h8g8
[Game   1] [Move 110] Player: Black (UCT ) | Sims:    18 | Time:  1.574s | Move: c3d4
[Game   1] [Move 111] Player: White (MCVS) | Sims:     6 | Time:  1.512s | Move: g8h8
[Game   1] [Move 112] Player: Black (UCT ) | Sims:    18 | Time:  1.506s | Move: d4c5
[Game   1] [Move 113] Player: White (MCVS) | Sims:     7 | Time:  1.657s | Move: h8g8
[Game   1] [Move 114] Player: Black (UCT ) | Sims:    20 | Time:  1.558s | Move: h6e6
[Game   1] [Move 115] Player: White (MCVS) | Sims:     6 | Time:  1.537s | Move: g8h8
[Game   1] [Move 116] Player: Black (UCT ) | Sims:    21 | Time:  1.520s | Move: e6e7
[Game   1] [Move 117] Player: White (MCVS) | Sims:     7 | Time:  1.681s | Move: h8g8
[Game   1] [Move 118] Player: Black (UCT ) | Sims:    16 | Time:  1.517s | Move: e7e2
[Game   1] [Move 119] Player: White (MCVS) | Sims:    10 | Time:  1.599s | Move: e1e2
[Game   1] [Move 120] Player: Black (UCT ) | Sims:    15 | Time:  1.551s | Move: c5c6
[Game   1] [Move 121] Player: White (MCVS) | Sims:     8 | Time:  1.531s | Move: g8e8
[Game   1] [Move 122] Player: Black (UCT ) | Sims:    20 | Time:  1.617s | Move: f7h5
[Game   1] [Move 123] Player: White (MCVS) | Sims:     9 | Time:  1.525s | Move: e2d3
[Game   1] [Move 124] Player: Black (UCT ) | Sims:    23 | Time:  1.556s | Move: c6c2
[Game   1] [Move 125] Player: White (MCVS) | Sims:    12 | Time:  1.642s | Move: d3c2
[Game   1] [Move 126] Player: Black (UCT ) | Sims:    18 | Time:  1.552s | Move: h1g3
[Game   1] [Move 127] Player: White (MCVS) | Sims:    12 | Time:  1.571s | Move: e8h8
[Game   1] [Move 128] Player: Black (UCT ) | Sims:    19 | Time:  1.522s | Move: h5e8
[Game   1] [Move 129] Player: White (MCVS) | Sims:    12 | Time:  1.648s | Move: h8g8
[Game   1] [Move 130] Player: Black (UCT ) | Sims:    22 | Time:  1.521s | Move: g3e4
[Game   1] [Move 131] Player: White (MCVS) | Sims:    11 | Time:  1.557s | Move: g8h8
[Game   1] [Move 132] Player: Black (UCT ) | Sims:    24 | Time:  1.509s | Move: h4h3
[Game   1] [Move 133] Player: White (MCVS) | Sims:    11 | Time:  1.529s | Move: h8g8
[Game   1] [Move 134] Player: Black (UCT ) | Sims:    21 | Time:  1.611s | Move: c7c6
[Game   1] [Move 135] Player: White (MCVS) | Sims:     9 | Time:  1.512s | Move: g8h8
[Game   1] [Move 136] Player: Black (UCT ) | Sims:    16 | Time:  1.519s | Move: e4f2
[Game   1] [Move 137] Player: White (MCVS) | Sims:    13 | Time:  1.589s | Move: h8g8
[Game   1] [Move 138] Player: Black (UCT ) | Sims:    17 | Time:  1.528s | Move: e8f7
[Game   1] [Move 139] Player: White (MCVS) | Sims:    11 | Time:  1.640s | Move: g8f8
[Game   1] [Move 140] Player: Black (UCT ) | Sims:    16 | Time:  1.603s | Move: f4f5
[Game   1] [Move 141] Player: White (MCVS) | Sims:    10 | Time:  1.527s | Move: f8d8
[Game   1] [Move 142] Player: Black (UCT ) | Sims:    19 | Time:  1.553s | Move: f5g5
[Game   1] [Move 143] Player: White (MCVS) | Sims:    10 | Time:  1.542s | Move: d8f8
[Game   1] [Move 144] Player: Black (UCT ) | Sims:    17 | Time:  1.527s | Move: g5g6
