====================================================================================================
BREAKTHROUGH TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-07 10:12:43
====================================================================================================

[Game   3] [Move  48] Player: P2   (UCT ) | Sims:   196 | Time:  1.515s | Move: (6, 5, 5, 5)
[Game   3] [Move  49] Player: P1   (MCVS) | Sims:   119 | Time:  1.506s | Move: (2, 7, 3, 7)
[Game   3] [Move  50] Player: P2   (UCT ) | Sims:   164 | Time:  1.512s | Move: (5, 3, 4, 3)
[Game   3] [Move  51] Player: P1   (MCVS) | Sims:   117 | Time:  1.501s | Move: (1, 1, 2, 1)
[Game   3] [Move  52] Player: P2   (UCT ) | Sims:   200 | Time:  1.506s | Move: (2, 4, 1, 4)
[Game   3] [Move  53] Player: P1   (MCVS) | Sims:   120 | Time:  1.519s | Move: (2, 5, 3, 5)
[Game   3] [Move  54] Player: P2   (UCT ) | Sims:   228 | Time:  1.521s | Move: (5, 5, 4, 5)
[Game   3] [Move  55] Player: P1   (MCVS) | Sims:   126 | Time:  1.513s | Move: (3, 4, 4, 5)
[Game   3] [Move  56] Player: P2   (UCT ) | Sims:   180 | Time:  1.504s | Move: (6, 1, 5, 1)
[Game   3] [Move  57] Player: P1   (MCVS) | Sims:   136 | Time:  1.510s | Move: (0, 3, 1, 3)
[Game   3] [Move  58] Player: P2   (UCT ) | Sims:   189 | Time:  1.509s | Move: (6, 6, 5, 6)
[Game   3] [Move  59] Player: P1   (MCVS) | Sims:   127 | Time:  1.508s | Move: (0, 0, 1, 0)
[Game   3] [Move  60] Player: P2   (UCT ) | Sims:   135 | Time:  1.515s | Move: (4, 0, 3, 1)
[Game   3] [Move  61] Player: P1   (MCVS) | Sims:   131 | Time:  1.515s | Move: (0, 2, 1, 2)
[Game   3] [Move  62] Player: P2   (UCT ) | Sims:   221 | Time:  1.516s | Move: (2, 6, 1, 6)
[Game   3] [Move  63] Player: P1   (MCVS) | Sims:   127 | Time:  1.506s | Move: (1, 5, 2, 5)
[Game   3] [Move  64] Player: P2   (UCT ) | Sims:   307 | Time:  1.505s | Move: (3, 0, 2, 1)
[Game   3] [Move  65] Player: P1   (MCVS) | Sims:   146 | Time:  1.507s | Move: (1, 0, 2, 0)
[Game   3] [Move  66] Player: P2   (UCT ) | Sims:   254 | Time:  1.509s | Move: (2, 1, 1, 1)
[Game   3] [Move  67] Player: P1   (MCVS) | Sims:   152 | Time:  1.502s | Move: (2, 0, 3, 0)
[Game   3] [Move  68] Player: P2   (UCT ) | Sims:   198 | Time:  1.518s | Move: (5, 4, 4, 5)
[Game   3] [Move  69] Player: P1   (MCVS) | Sims:   146 | Time:  1.509s | Move: (4, 6, 5, 7)
[Game   3] [Move  70] Player: P2   (UCT ) | Sims:   293 | Time:  1.515s | Move: (3, 1, 2, 1)
[Game   3] [Move  71] Player: P1   (MCVS) | Sims:   182 | Time:  1.507s | Move: (3, 0, 4, 0)
[Game   3] [Move  72] Player: P2   (UCT ) | Sims:   156 | Time:  1.508s | Move: (5, 1, 4, 1)
[Game   3] [Move  73] Player: P1   (MCVS) | Sims:   182 | Time:  1.508s | Move: (1, 3, 2, 3)
[Game   3] [Move  74] Player: P2   (UCT ) | Sims:   251 | Time:  1.514s | Move: (5, 6, 4, 7)
[Game   3] [Move  75] Player: P1   (MCVS) | Sims:   211 | Time:  1.506s | Move: (2, 3, 3, 3)
[Game   3] [Move  76] Player: P2   (UCT ) | Sims:   200 | Time:  1.517s | Move: (4, 1, 3, 1)
[Game   3] [Move  77] Player: P1   (MCVS) | Sims:   208 | Time:  1.503s | Move: (2, 2, 3, 2)
[Game   3] [Move  78] Player: P2   (UCT ) | Sims:   229 | Time:  1.508s | Move: (6, 2, 5, 2)
[Game   3] [Move  79] Player: P1   (MCVS) | Sims:   207 | Time:  1.503s | Move: (1, 2, 2, 1)
[Game   3] [Move  80] Player: P2   (UCT ) | Sims:   220 | Time:  1.517s | Move: (7, 6, 6, 6)
[Game   3] [Move  81] Player: P1   (MCVS) | Sims:   300 | Time:  1.515s | Move: (3, 2, 4, 2)
[Game   3] [Move  82] Player: P2   (UCT ) | Sims:   493 | Time:  1.509s | Move: (6, 6, 5, 6)

----------------------------------------------------------------------------------------------------
GAME 3 SUMMARY - Winner: Draw
Total moves: 82

MCVS Statistics:
  Total simulations: 5,073
  Avg sims/move: 123.7
  Total time: 61.91s
  Avg time/move: 1.510s

UCT Statistics:
  Total simulations: 8,226
  Avg sims/move: 200.6
  Total time: 61.97s
  Avg time/move: 1.512s
----------------------------------------------------------------------------------------------------

[Game   4] [Move   1] Player: P1   (UCT ) | Sims:   156 | Time:  1.504s | Move: (1, 2, 2, 2)
[Game   4] [Move   2] Player: P2   (MCVS) | Sims:    59 | Time:  1.503s | Move: (6, 6, 5, 6)
[Game   4] [Move   3] Player: P1   (UCT ) | Sims:   168 | Time:  1.505s | Move: (1, 1, 2, 1)
[Game   4] [Move   4] Player: P2   (MCVS) | Sims:    65 | Time:  1.510s | Move: (7, 6, 6, 6)
[Game   4] [Move   5] Player: P1   (UCT ) | Sims:   171 | Time:  1.513s | Move: (1, 7, 2, 7)
[Game   4] [Move   6] Player: P2   (MCVS) | Sims:    66 | Time:  1.523s | Move: (6, 1, 5, 1)
[Game   4] [Move   7] Player: P1   (UCT ) | Sims:   153 | Time:  1.509s | Move: (1, 4, 2, 4)
[Game   4] [Move   8] Player: P2   (MCVS) | Sims:    70 | Time:  1.516s | Move: (6, 5, 5, 5)
