====================================================================================================
CHESS TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-08 07:30:48
====================================================================================================

[Game   1] [Move  86] Player: Black (UCT ) | Sims:    16 | Time:  1.666s | Move: b8c6
[Game   1] [Move  87] Player: White (MCVS) | Sims:    16 | Time:  1.526s | Move: g2g3
[Game   1] [Move  88] Player: Black (UCT ) | Sims:    14 | Time:  1.593s | Move: c6d8
[Game   1] [Move  89] Player: White (MCVS) | Sims:    20 | Time:  1.526s | Move: e2f3
[Game   1] [Move  90] Player: Black (UCT ) | Sims:    19 | Time:  1.774s | Move: b7a7
[Game   1] [Move  91] Player: White (MCVS) | Sims:    21 | Time:  1.588s | Move: f3e2
[Game   1] [Move  92] Player: Black (UCT ) | Sims:     7 | Time:  1.560s | Move: a7b7
[Game   1] [Move  93] Player: White (MCVS) | Sims:    21 | Time:  1.529s | Move: a4d4
[Game   1] [Move  94] Player: Black (UCT ) | Sims:    13 | Time:  1.554s | Move: d8c6
[Game   1] [Move  95] Player: White (MCVS) | Sims:    15 | Time:  1.545s | Move: a3a4
[Game   1] [Move  96] Player: Black (UCT ) | Sims:    14 | Time:  1.589s | Move: c5d4
[Game   1] [Move  97] Player: White (MCVS) | Sims:    22 | Time:  1.543s | Move: g8e7
[Game   1] [Move  98] Player: Black (UCT ) | Sims:    10 | Time:  1.569s | Move: f6g7
[Game   1] [Move  99] Player: White (MCVS) | Sims:    24 | Time:  1.548s | Move: b5c6
[Game   1] [Move 100] Player: Black (UCT ) | Sims:    14 | Time:  1.680s | Move: b7a8
[Game   1] [Move 101] Player: White (MCVS) | Sims:    31 | Time:  1.540s | Move: a1a3
[Game   1] [Move 102] Player: Black (UCT ) | Sims:    18 | Time:  1.522s | Move: a8b8
[Game   1] [Move 103] Player: White (MCVS) | Sims:    30 | Time:  1.528s | Move: e2f3
[Game   1] [Move 104] Player: Black (UCT ) | Sims:    17 | Time:  1.531s | Move: g7f8
[Game   1] [Move 105] Player: White (MCVS) | Sims:    28 | Time:  1.523s | Move: e7d5
[Game   1] [Move 106] Player: Black (UCT ) | Sims:    24 | Time:  1.550s | Move: b6b5
[Game   1] [Move 107] Player: White (MCVS) | Sims:    26 | Time:  1.501s | Move: d5b4
[Game   1] [Move 108] Player: Black (UCT ) | Sims:    14 | Time:  1.522s | Move: f8c5
[Game   1] [Move 109] Player: White (MCVS) | Sims:    26 | Time:  1.522s | Move: g6g7
[Game   1] [Move 110] Player: Black (UCT ) | Sims:    17 | Time:  1.616s | Move: c5a7
[Game   1] [Move 111] Player: White (MCVS) | Sims:    31 | Time:  1.505s | Move: f3g2
[Game   1] [Move 112] Player: Black (UCT ) | Sims:    21 | Time:  1.651s | Move: b8a8
[Game   1] [Move 113] Player: White (MCVS) | Sims:    31 | Time:  1.533s | Move: b4d5
[Game   1] [Move 114] Player: Black (UCT ) | Sims:    14 | Time:  1.519s | Move: a8b8
[Game   1] [Move 115] Player: White (MCVS) | Sims:   375 | Time:  1.501s | Move: g7g8q

----------------------------------------------------------------------------------------------------
GAME 1 SUMMARY - Winner: MCVS
Total moves: 115

MCVS Statistics:
  Total simulations: 992
  Avg sims/move: 17.1
  Total time: 94.09s
  Avg time/move: 1.622s

UCT Statistics:
  Total simulations: 665
  Avg sims/move: 11.7
  Total time: 91.55s
  Avg time/move: 1.606s
----------------------------------------------------------------------------------------------------

[Game   2] [Move   1] Player: White (UCT ) | Sims:     8 | Time:  1.547s | Move: b1a3
[Game   2] [Move   2] Player: Black (MCVS) | Sims:     6 | Time:  1.507s | Move: b8a6
[Game   2] [Move   3] Player: White (UCT ) | Sims:     8 | Time:  1.523s | Move: h2h3
[Game   2] [Move   4] Player: Black (MCVS) | Sims:     7 | Time:  1.698s | Move: b7b6
[Game   2] [Move   5] Player: White (UCT ) | Sims:     7 | Time:  1.519s | Move: f2f4
[Game   2] [Move   6] Player: Black (MCVS) | Sims:     7 | Time:  1.720s | Move: e7e5
[Game   2] [Move   7] Player: White (UCT ) | Sims:     7 | Time:  1.735s | Move: h1h2
[Game   2] [Move   8] Player: Black (MCVS) | Sims:     6 | Time:  1.626s | Move: f8e7
[Game   2] [Move   9] Player: White (UCT ) | Sims:    13 | Time:  1.567s | Move: g2g3
[Game   2] [Move  10] Player: Black (MCVS) | Sims:     5 | Time:  1.611s | Move: d7d6
[Game   2] [Move  11] Player: White (UCT ) | Sims:    12 | Time:  1.552s | Move: d2d4
[Game   2] [Move  12] Player: Black (MCVS) | Sims:     5 | Time:  1.790s | Move: c8b7
[Game   2] [Move  13] Player: White (UCT ) | Sims:    10 | Time:  1.569s | Move: d1d3
[Game   2] [Move  14] Player: Black (MCVS) | Sims:     4 | Time:  1.860s | Move: g8h6
[Game   2] [Move  15] Player: White (UCT ) | Sims:     9 | Time:  1.842s | Move: b2b4
[Game   2] [Move  16] Player: Black (MCVS) | Sims:     4 | Time:  1.920s | Move: h8g8
[Game   2] [Move  17] Player: White (UCT ) | Sims:     8 | Time:  1.713s | Move: a1b1
[Game   2] [Move  18] Player: Black (MCVS) | Sims:     4 | Time:  1.890s | Move: d6d5
[Game   2] [Move  19] Player: White (UCT ) | Sims:    10 | Time:  1.622s | Move: e1d1
[Game   2] [Move  20] Player: Black (MCVS) | Sims:     4 | Time:  1.810s | Move: b7c6
[Game   2] [Move  21] Player: White (UCT ) | Sims:     8 | Time:  1.590s | Move: f1g2
[Game   2] [Move  22] Player: Black (MCVS) | Sims:     4 | Time:  1.852s | Move: g7g5
[Game   2] [Move  23] Player: White (UCT ) | Sims:    12 | Time:  1.525s | Move: d3a6
[Game   2] [Move  24] Player: Black (MCVS) | Sims:     4 | Time:  1.671s | Move: g5g4
[Game   2] [Move  25] Player: White (UCT ) | Sims:    11 | Time:  1.589s | Move: g2e4
[Game   2] [Move  26] Player: Black (MCVS) | Sims:     4 | Time:  1.665s | Move: h6f5
[Game   2] [Move  27] Player: White (UCT ) | Sims:    16 | Time:  1.623s | Move: c1e3
[Game   2] [Move  28] Player: Black (MCVS) | Sims:     4 | Time:  1.794s | Move: h7h5
[Game   2] [Move  29] Player: White (UCT ) | Sims:    14 | Time:  1.538s | Move: a6a7
[Game   2] [Move  30] Player: Black (MCVS) | Sims:     4 | Time:  1.593s | Move: a8a7
[Game   2] [Move  31] Player: White (UCT ) | Sims:    11 | Time:  1.604s | Move: d1e1
[Game   2] [Move  32] Player: Black (MCVS) | Sims:     5 | Time:  1.790s | Move: b6b5
