====================================================================================================
DRAUGHTS ABLATION (ZONE ONLY) - MOVE LOG
Started: 2026-02-07 17:36:42
====================================================================================================

[Game   1] [Move  89] Player: P1   (MCVS) | Sims:    36 | Time:  1.553s | Move: (1, 2, 0, 3)
[Game   1] [Move  90] Player: P2   (UCT ) | Sims:  1772 | Time:  1.501s | Move: (3, 6, 4, 5)
[Game   1] [Move  91] Player: P1   (MCVS) | Sims:    35 | Time:  1.514s | Move: (0, 3, 1, 2)
[Game   1] [Move  92] Player: P2   (UCT ) | Sims:  1722 | Time:  1.502s | Move: (4, 5, 5, 6)
[Game   1] [Move  93] Player: P1   (MCVS) | Sims:    34 | Time:  1.528s | Move: (1, 2, 2, 1)
[Game   1] [Move  94] Player: P2   (UCT ) | Sims:  1610 | Time:  1.500s | Move: (5, 6, 6, 7)
[Game   1] [Move  95] Player: P1   (MCVS) | Sims:    34 | Time:  1.524s | Move: (2, 1, 3, 0)
[Game   1] [Move  96] Player: P2   (UCT ) | Sims:  2006 | Time:  1.501s | Move: (6, 7, 5, 6)
[Game   1] [Move  97] Player: P1   (MCVS) | Sims:    31 | Time:  1.522s | Move: (3, 0, 2, 1)
[Game   1] [Move  98] Player: P2   (UCT ) | Sims:  1544 | Time:  1.503s | Move: (6, 1, 5, 0)
[Game   1] [Move  99] Player: P1   (MCVS) | Sims:    33 | Time:  1.544s | Move: (2, 1, 3, 0)
[Game   1] [Move 100] Player: P2   (UCT ) | Sims:  2356 | Time:  1.508s | Move: (5, 0, 6, 1)
[Game   1] [Move 101] Player: P1   (MCVS) | Sims:    29 | Time:  1.519s | Move: (3, 0, 2, 1)
[Game   1] [Move 102] Player: P2   (UCT ) | Sims:  1674 | Time:  1.507s | Move: (5, 6, 6, 7)
[Game   1] [Move 103] Player: P1   (MCVS) | Sims:    33 | Time:  1.539s | Move: (2, 1, 1, 0)
[Game   1] [Move 104] Player: P2   (UCT ) | Sims:  1448 | Time:  1.501s | Move: (6, 1, 7, 0)
[Game   1] [Move 105] Player: P1   (MCVS) | Sims:    34 | Time:  1.540s | Move: (1, 0, 0, 1)
[Game   1] [Move 106] Player: P2   (UCT ) | Sims:  1284 | Time:  1.500s | Move: (7, 6, 6, 5)
[Game   1] [Move 107] Player: P1   (MCVS) | Sims:    33 | Time:  1.531s | Move: (0, 1, 1, 2)
[Game   1] [Move 108] Player: P2   (UCT ) | Sims:  1390 | Time:  1.500s | Move: (6, 5, 5, 6)
[Game   1] [Move 109] Player: P1   (MCVS) | Sims:    34 | Time:  1.518s | Move: (1, 2, 0, 3)
[Game   1] [Move 110] Player: P2   (UCT ) | Sims:  1382 | Time:  1.500s | Move: (5, 6, 4, 5)
[Game   1] [Move 111] Player: P1   (MCVS) | Sims:    34 | Time:  1.531s | Move: (0, 3, 1, 2)
[Game   1] [Move 112] Player: P2   (UCT ) | Sims:  1594 | Time:  1.501s | Move: (4, 5, 3, 4)
[Game   1] [Move 113] Player: P1   (MCVS) | Sims:    35 | Time:  1.535s | Move: (1, 2, 0, 3)
[Game   1] [Move 114] Player: P2   (UCT ) | Sims:  2144 | Time:  1.502s | Move: (3, 4, 2, 3)
[Game   1] [Move 115] Player: P1   (MCVS) | Sims: 13356 | Time:  1.501s | Move: (0, 3, 1, 4)
[Game   1] [Move 116] Player: P2   (UCT ) | Sims: 16474 | Time:  1.500s | Move: (2, 3, 0, 5)

----------------------------------------------------------------------------------------------------
GAME 1 SUMMARY - Winner: UCT
Total moves: 116

MCVS (Zone-Guided) Statistics:
  Total simulations: 15,336
  Avg sims/move: 264.4
  Total time: 88.43s
  Avg time/move: 1.525s

UCT Statistics:
  Total simulations: 92,096
  Avg sims/move: 1587.9
  Total time: 87.28s
  Avg time/move: 1.505s
----------------------------------------------------------------------------------------------------

[Game   2] [Move   1] Player: P1   (UCT ) | Sims:   534 | Time:  1.519s | Move: (5, 4, 4, 3)
[Game   2] [Move   2] Player: P2   (MCVS) | Sims:    31 | Time:  1.511s | Move: (2, 3, 3, 2)
[Game   2] [Move   3] Player: P1   (UCT ) | Sims:   522 | Time:  1.507s | Move: (5, 2, 4, 1)
[Game   2] [Move   4] Player: P2   (MCVS) | Sims:    29 | Time:  1.515s | Move: (3, 2, 5, 4)
[Game   2] [Move   5] Player: P1   (UCT ) | Sims:   498 | Time:  1.507s | Move: (6, 3, 4, 5)
[Game   2] [Move   6] Player: P2   (MCVS) | Sims:    32 | Time:  1.520s | Move: (2, 5, 3, 6)
[Game   2] [Move   7] Player: P1   (UCT ) | Sims:   570 | Time:  1.501s | Move: (7, 2, 6, 3)
[Game   2] [Move   8] Player: P2   (MCVS) | Sims:    32 | Time:  1.538s | Move: (3, 6, 5, 4)
[Game   2] [Move   9] Player: P1   (UCT ) | Sims:   598 | Time:  1.512s | Move: (6, 3, 4, 5)
[Game   2] [Move  10] Player: P2   (MCVS) | Sims:    32 | Time:  1.517s | Move: (2, 1, 3, 0)
[Game   2] [Move  11] Player: P1   (UCT ) | Sims:   614 | Time:  1.519s | Move: (4, 1, 3, 2)
[Game   2] [Move  12] Player: P2   (MCVS) | Sims:    32 | Time:  1.551s | Move: (1, 4, 2, 3)
[Game   2] [Move  13] Player: P1   (UCT ) | Sims:   672 | Time:  1.505s | Move: (3, 2, 1, 4)
[Game   2] [Move  14] Player: P2   (MCVS) | Sims:    32 | Time:  1.521s | Move: (0, 3, 2, 5)
[Game   2] [Move  15] Player: P1   (UCT ) | Sims:   664 | Time:  1.503s | Move: (7, 4, 6, 3)
[Game   2] [Move  16] Player: P2   (MCVS) | Sims:    32 | Time:  1.522s | Move: (3, 0, 4, 1)
[Game   2] [Move  17] Player: P1   (UCT ) | Sims:   682 | Time:  1.503s | Move: (5, 0, 3, 2)
[Game   2] [Move  18] Player: P2   (MCVS) | Sims:    33 | Time:  1.540s | Move: (2, 5, 3, 4)
[Game   2] [Move  19] Player: P1   (UCT ) | Sims:   718 | Time:  1.503s | Move: (4, 5, 2, 3)
[Game   2] [Move  20] Player: P2   (MCVS) | Sims:    33 | Time:  1.515s | Move: (1, 2, 3, 4)
[Game   2] [Move  21] Player: P1   (UCT ) | Sims:   626 | Time:  1.508s | Move: (3, 2, 2, 1)
[Game   2] [Move  22] Player: P2   (MCVS) | Sims:    33 | Time:  1.522s | Move: (1, 0, 3, 2)
[Game   2] [Move  23] Player: P1   (UCT ) | Sims:   800 | Time:  1.501s | Move: (6, 1, 5, 0)
[Game   2] [Move  24] Player: P2   (MCVS) | Sims:    34 | Time:  1.531s | Move: (0, 1, 1, 0)
[Game   2] [Move  25] Player: P1   (UCT ) | Sims:   780 | Time:  1.505s | Move: (5, 6, 4, 7)
[Game   2] [Move  26] Player: P2   (MCVS) | Sims:    31 | Time:  1.523s | Move: (1, 0, 2, 1)
[Game   2] [Move  27] Player: P1   (UCT ) | Sims:   800 | Time:  1.502s | Move: (5, 0, 4, 1)
[Game   2] [Move  28] Player: P2   (MCVS) | Sims:    33 | Time:  1.505s | Move: (3, 2, 5, 0)
[Game   2] [Move  29] Player: P1   (UCT ) | Sims:   768 | Time:  1.516s | Move: (6, 3, 5, 4)
[Game   2] [Move  30] Player: P2   (MCVS) | Sims:    33 | Time:  1.509s | Move: (1, 6, 2, 5)
[Game   2] [Move  31] Player: P1   (UCT ) | Sims:  1026 | Time:  1.508s | Move: (5, 4, 4, 3)
[Game   2] [Move  32] Player: P2   (MCVS) | Sims:    34 | Time:  1.515s | Move: (3, 4, 5, 2)
[Game   2] [Move  33] Player: P1   (UCT ) | Sims:   962 | Time:  1.504s | Move: (4, 7, 3, 6)
[Game   2] [Move  34] Player: P2   (MCVS) | Sims:    36 | Time:  1.527s | Move: (2, 5, 4, 7)
[Game   2] [Move  35] Player: P1   (UCT ) | Sims:  1264 | Time:  1.507s | Move: (6, 5, 5, 4)
[Game   2] [Move  36] Player: P2   (MCVS) | Sims:    34 | Time:  1.524s | Move: (0, 5, 1, 6)
[Game   2] [Move  37] Player: P1   (UCT ) | Sims:  1094 | Time:  1.510s | Move: (6, 7, 5, 6)
[Game   2] [Move  38] Player: P2   (MCVS) | Sims:    35 | Time:  1.519s | Move: (4, 7, 6, 5)
[Game   2] [Move  39] Player: P1   (UCT ) | Sims:  1240 | Time:  1.510s | Move: (5, 4, 4, 5)
[Game   2] [Move  40] Player: P2   (MCVS) | Sims:    36 | Time:  1.523s | Move: (2, 7, 3, 6)
[Game   2] [Move  41] Player: P1   (UCT ) | Sims:  1078 | Time:  1.502s | Move: (7, 6, 5, 4)
[Game   2] [Move  42] Player: P2   (MCVS) | Sims:    33 | Time:  1.501s | Move: (5, 2, 6, 1)
[Game   2] [Move  43] Player: P1   (UCT ) | Sims:   930 | Time:  1.504s | Move: (4, 5, 2, 7)
[Game   2] [Move  44] Player: P2   (MCVS) | Sims:    34 | Time:  1.509s | Move: (6, 1, 7, 2)
[Game   2] [Move  45] Player: P1   (UCT ) | Sims:  1062 | Time:  1.502s | Move: (2, 7, 0, 5)
[Game   2] [Move  46] Player: P2   (MCVS) | Sims:    34 | Time:  1.508s | Move: (0, 7, 1, 6)
[Game   2] [Move  47] Player: P1   (UCT ) | Sims:  1082 | Time:  1.513s | Move: (0, 5, 2, 7)
[Game   2] [Move  48] Player: P2   (MCVS) | Sims:    35 | Time:  1.508s | Move: (5, 0, 6, 1)
[Game   2] [Move  49] Player: P1   (UCT ) | Sims:  1086 | Time:  1.512s | Move: (7, 0, 5, 2)
[Game   2] [Move  50] Player: P2   (MCVS) | Sims:    35 | Time:  1.524s | Move: (2, 1, 3, 2)
[Game   2] [Move  51] Player: P1   (UCT ) | Sims:  1192 | Time:  1.504s | Move: (5, 4, 4, 5)
[Game   2] [Move  52] Player: P2   (MCVS) | Sims:    34 | Time:  1.510s | Move: (7, 2, 6, 3)
[Game   2] [Move  53] Player: P1   (UCT ) | Sims:   884 | Time:  1.508s | Move: (4, 5, 3, 6)
[Game   2] [Move  54] Player: P2   (MCVS) | Sims:    34 | Time:  1.506s | Move: (6, 3, 4, 1)
[Game   2] [Move  55] Player: P1   (UCT ) | Sims:   922 | Time:  1.500s | Move: (3, 6, 2, 5)
[Game   2] [Move  56] Player: P2   (MCVS) | Sims:    33 | Time:  1.508s | Move: (4, 1, 5, 2)
[Game   2] [Move  57] Player: P1   (UCT ) | Sims:   914 | Time:  1.501s | Move: (2, 5, 1, 4)
[Game   2] [Move  58] Player: P2   (MCVS) | Sims:    34 | Time:  1.537s | Move: (5, 2, 6, 3)
[Game   2] [Move  59] Player: P1   (UCT ) | Sims:   956 | Time:  1.505s | Move: (2, 7, 1, 6)
[Game   2] [Move  60] Player: P2   (MCVS) | Sims:    34 | Time:  1.501s | Move: (6, 3, 5, 4)
[Game   2] [Move  61] Player: P1   (UCT ) | Sims:   990 | Time:  1.501s | Move: (1, 6, 2, 5)
[Game   2] [Move  62] Player: P2   (MCVS) | Sims:    34 | Time:  1.524s | Move: (3, 2, 4, 1)
[Game   2] [Move  63] Player: P1   (UCT ) | Sims:  1154 | Time:  1.510s | Move: (1, 4, 0, 5)
[Game   2] [Move  64] Player: P2   (MCVS) | Sims:    35 | Time:  1.521s | Move: (5, 4, 4, 5)
[Game   2] [Move  65] Player: P1   (UCT ) | Sims:  1464 | Time:  1.508s | Move: (2, 5, 3, 6)
[Game   2] [Move  66] Player: P2   (MCVS) | Sims:  1743 | Time:  1.507s | Move: (4, 5, 2, 7)
[Game   2] [Move  67] Player: P1   (UCT ) | Sims:  3190 | Time:  1.509s | Move: (0, 5, 1, 6)
[Game   2] [Move  68] Player: P2   (MCVS) | Sims: 23679 | Time:  1.501s | Move: (2, 7, 0, 5)

----------------------------------------------------------------------------------------------------
GAME 2 SUMMARY - Winner: MCVS
Total moves: 68

MCVS (Zone-Guided) Statistics:
  Total simulations: 26,488
  Avg sims/move: 779.1
  Total time: 51.61s
  Avg time/move: 1.518s

UCT Statistics:
  Total simulations: 32,336
  Avg sims/move: 951.1
  Total time: 51.23s
  Avg time/move: 1.507s
----------------------------------------------------------------------------------------------------

[Game   3] [Move   1] Player: P1   (MCVS) | Sims:    33 | Time:  1.546s | Move: (5, 6, 4, 5)
[Game   3] [Move   2] Player: P2   (UCT ) | Sims:   556 | Time:  1.501s | Move: (2, 7, 3, 6)
[Game   3] [Move   3] Player: P1   (MCVS) | Sims:    33 | Time:  1.532s | Move: (4, 5, 2, 7)
[Game   3] [Move   4] Player: P2   (UCT ) | Sims:   658 | Time:  1.513s | Move: (2, 5, 3, 4)
[Game   3] [Move   5] Player: P1   (MCVS) | Sims:    33 | Time:  1.522s | Move: (5, 4, 4, 3)
[Game   3] [Move   6] Player: P2   (UCT ) | Sims:   640 | Time:  1.504s | Move: (3, 4, 4, 5)
[Game   3] [Move   7] Player: P1   (MCVS) | Sims:    33 | Time:  1.521s | Move: (6, 7, 5, 6)
[Game   3] [Move   8] Player: P2   (UCT ) | Sims:   556 | Time:  1.514s | Move: (4, 5, 6, 7)
[Game   3] [Move   9] Player: P1   (MCVS) | Sims:    33 | Time:  1.552s | Move: (6, 5, 5, 6)
[Game   3] [Move  10] Player: P2   (UCT ) | Sims:   590 | Time:  1.501s | Move: (2, 1, 3, 2)
[Game   3] [Move  11] Player: P1   (MCVS) | Sims:    33 | Time:  1.502s | Move: (4, 3, 2, 1)
[Game   3] [Move  12] Player: P2   (UCT ) | Sims:   598 | Time:  1.501s | Move: (1, 2, 3, 0)
