Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game  98/200 | Draw       (moves=150) | MCVS wins:  23 | Draws:  11 | Zone DB size: 2,529 | ETA: 216.2 min
Game  99/200 | UCT        (moves= 80) | MCVS wins:  23 | Draws:  11 | Zone DB size: 2,548 | ETA: 214.0 min
Game 100/200 | UCT        (moves= 65) | MCVS wins:  23 | Draws:  11 | Zone DB size: 2,568 | ETA: 211.5 min
Game 101/200 | UCT        (moves=138) | MCVS wins:  23 | Draws:  11 | Zone DB size: 2,606 | ETA: 210.8 min
Game 102/200 | MCVS       (moves= 58) | MCVS wins:  24 | Draws:  11 | Zone DB size: 2,631 | ETA: 208.1 min
Game 103/200 | MCVS       (moves= 49) | MCVS wins:  25 | Draws:  11 | Zone DB size: 2,649 | ETA: 205.2 min
Game 104/200 | UCT        (moves= 93) | MCVS wins:  25 | Draws:  11 | Zone DB size: 2,675 | ETA: 203.4 min
Game 105/200 | UCT        (moves= 96) | MCVS wins:  25 | Draws:  11 | Zone DB size: 2,708 | ETA: 201.6 min
Game 106/200 | MCVS       (moves=100) | MCVS wins:  26 | Draws:  11 | Zone DB size: 2,735 | ETA: 199.9 min
Game 107/200 | UCT        (moves=144) | MCVS wins:  26 | Draws:  11 | Zone DB size: 2,773 | ETA: 199.2 min
Game 108/200 | UCT        (moves= 93) | MCVS wins:  26 | Draws:  11 | Zone DB size: 2,802 | ETA: 197.3 min
Game 109/200 | UCT        (moves= 52) | MCVS wins:  26 | Draws:  11 | Zone DB size: 2,816 | ETA: 194.5 min
Game 110/200 | Draw       (moves=150) | MCVS wins:  26 | Draws:  12 | Zone DB size: 2,860 | ETA: 193.8 min
Game 111/200 | MCVS       (moves= 87) | MCVS wins:  27 | Draws:  12 | Zone DB size: 2,883 | ETA: 191.8 min
Game 112/200 | MCVS       (moves= 46) | MCVS wins:  28 | Draws:  12 | Zone DB size: 2,904 | ETA: 188.9 min
Game 113/200 | UCT        (moves=144) | MCVS wins:  28 | Draws:  12 | Zone DB size: 2,947 | ETA: 187.9 min
Game 114/200 | UCT        (moves= 55) | MCVS wins:  28 | Draws:  12 | Zone DB size: 2,967 | ETA: 185.2 min
Game 115/200 | UCT        (moves=116) | MCVS wins:  28 | Draws:  12 | Zone DB size: 3,009 | ETA: 183.7 min
Game 116/200 | UCT        (moves= 49) | MCVS wins:  28 | Draws:  12 | Zone DB size: 3,025 | ETA: 180.9 min
Game 117/200 | UCT        (moves= 40) | MCVS wins:  28 | Draws:  12 | Zone DB size: 3,036 | ETA: 178.0 min
Game 118/200 | MCVS       (moves= 46) | MCVS wins:  29 | Draws:  12 | Zone DB size: 3,055 | ETA: 175.2 min
